Row,AAA,BBB,CCC,DDD
a,0.820585947,0.595155336,0.509528793,0.571179179
b,0.190378943,0.678456254,0.29501933,0.358403295
c,0.218802954,0.219040253,0.80981882,0.374064479
d,0.658671943,0.140953614,0.601619311,0.641347681
e,0.833746129,0.313267917,0.521532868,0.979087379
f,0.832307686,0.067135269,0.979357389,0.951119823
g,0.877824623,0.671272528,0.534506583,0.851885346
h,0.293741217,0.876472854,0.56448212,0.922375135
i,0.848652004,0.211497147,0.379506547,0.91053292
j,0.594496879,0.409676048,0.396503356,0.311243994
k,0.551108913,0.528882138,0.324754057,0.886262432
l,0.033580513,0.770378157,0.505570206,0.349517021
m,0.136568308,0.863115299,0.488479411,0.13759392
n,0.234556219,0.499160607,0.969049088,0.446857429
o,0.576948552,0.894957527,0.681859008,0.63227119
p,0.01721846,0.299782701,0.815054428,0.461985331
q,0.168991242,0.794563451,0.156661215,0.560276185
r,0.647440542,0.5938344,0.782476505,0.026105321
s,0.802302016,0.567020816,0.25094707,0.89689749
t,0.61948365,0.235533029,0.44693095,0.976774864
